,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,rikitea,41,PF,1578870368,80,-23.12,-134.97,76.28,16.44
1,hakkari,100,TR,1578870737,96,37.58,44.17,16.39,4.29
2,grindavik,90,IS,1578870488,92,63.84,-22.43,28.4,39.15
3,ushuaia,75,AR,1578870738,62,-54.8,-68.3,55.4,16.11
4,bosaso,80,SO,1578870738,69,11.28,49.18,78.19,27.69
5,hermanus,0,ZA,1578870738,90,-34.42,19.23,70.0,8.01
6,pendleton,75,US,1578870479,86,45.67,-118.79,50.0,26.4
7,toguchin,100,RU,1578870738,91,55.24,84.39,12.15,8.43
8,vaini,75,TO,1578870738,79,-21.2,-175.2,84.2,11.41
9,bredasdorp,16,ZA,1578870738,90,-34.53,20.04,66.99,8.01
10,severo-kurilsk,100,RU,1578870739,98,50.68,156.12,27.77,20.92
11,kaeo,89,NZ,1578870249,45,-35.1,173.78,86.0,5.01
12,norman wells,20,CA,1578870470,82,65.28,-126.83,-18.4,5.82
13,qaanaaq,0,GL,1578870739,51,77.48,-69.36,-12.75,1.43
14,atuona,0,PF,1578870473,78,-9.8,-139.03,80.73,17.22
15,thompson,90,CA,1578870739,77,55.74,-97.86,-0.4,3.36
16,longyearbyen,20,SJ,1578870450,64,78.22,15.64,-4.0,8.05
17,sorong,100,ID,1578870739,95,-0.88,131.25,75.87,2.8
18,cape town,20,ZA,1578870460,83,-33.93,18.42,70.0,12.75
19,zarand,0,IR,1578870739,73,30.81,56.56,26.51,3.27
20,ribeira grande,12,PT,1578870740,77,38.52,-28.7,54.57,21.92
21,kodiak,90,US,1578870740,74,57.79,-152.41,39.99,17.22
22,isangel,75,VU,1578870740,74,-19.55,169.27,84.2,9.17
23,pangnirtung,92,CA,1578870709,96,66.15,-65.71,-32.31,2.01
24,sao joao da barra,83,BR,1578870594,86,-21.64,-41.05,78.3,1.63
25,vanino,84,RU,1578870740,75,49.09,140.25,6.58,6.58
26,port alfred,10,ZA,1578870741,94,-33.59,26.89,72.0,6.13
27,victoria,40,HK,1578870474,63,22.29,114.16,62.6,9.17
28,portland,40,US,1578870260,75,45.52,-122.68,45.0,9.17
29,avarua,44,CK,1578870532,74,-21.21,-159.78,84.2,17.22
30,mataura,67,NZ,1578870741,66,-46.19,168.86,57.0,11.99
31,georgetown,20,MY,1578870689,88,5.41,100.34,78.8,2.24
32,albany,90,US,1578870742,74,42.6,-73.97,37.4,12.75
33,eyl,87,SO,1578870253,76,7.98,49.82,78.46,24.58
34,inhambane,11,MZ,1578870699,78,-23.86,35.38,80.44,11.52
35,hithadhoo,100,MV,1578870742,75,-0.6,73.08,81.79,12.64
36,souillac,40,MU,1578870742,78,-20.52,57.52,78.8,9.17
37,rawson,0,AR,1578870119,66,-43.3,-65.1,65.23,13.29
38,nanortalik,9,GL,1578870743,54,60.14,-45.24,16.12,25.61
39,caravelas,0,BR,1578870743,86,-17.71,-39.25,79.63,14.32
40,malanville,0,BJ,1578870743,26,11.87,3.39,80.02,9.19
41,videbaek,34,DK,1578870743,93,56.09,8.63,44.01,9.17
42,rio grande,0,BR,1578870744,51,-32.03,-52.1,84.2,11.41
43,goirle,90,NL,1578870744,87,51.52,5.05,46.99,9.17
44,gobabis,72,NA,1578870744,80,-22.45,18.97,68.05,5.01
45,skerries,75,IE,1578870744,80,53.58,-6.11,41.0,9.17
46,kruisfontein,17,ZA,1578870744,97,-34.0,24.73,64.02,1.48
47,san quintin,100,MX,1578870744,74,30.48,-115.95,58.66,13.38
48,pundaguitan,100,PH,1578870744,75,6.37,126.17,80.74,11.81
49,upernavik,27,GL,1578870745,66,72.79,-56.15,-10.93,6.87
50,los llanos de aridane,75,ES,1578870596,68,28.66,-17.92,64.4,8.05
51,omboue,54,GA,1578870471,93,-1.57,9.26,75.06,2.66
52,busselton,43,AU,1578870483,38,-33.65,115.33,70.0,12.48
53,yellowknife,20,CA,1578870644,65,62.46,-114.35,-34.01,4.7
54,kharp,100,RU,1578870745,98,66.8,65.81,-0.22,9.01
55,vakhrushi,100,RU,1578870745,94,58.68,50.03,28.13,14.52
56,saint george,1,US,1578870493,31,37.1,-113.58,50.0,6.93
57,cidreira,0,BR,1578870745,70,-30.18,-50.21,76.59,8.99
58,comodoro rivadavia,0,AR,1578870745,38,-45.87,-67.5,73.4,13.87
59,franklin,90,US,1578870746,86,39.97,-83.02,42.01,4.07
60,punta arenas,75,CL,1578870746,59,-53.15,-70.92,62.6,23.04
61,muros,75,ES,1578870466,100,42.78,-9.06,52.0,3.36
62,abu dhabi,20,AE,1578870464,55,24.47,54.37,62.6,6.93
63,barrow,1,US,1578870746,69,71.29,-156.79,-9.4,11.41
64,kamenka,66,RU,1578870269,96,51.32,42.77,25.0,7.0
65,vammala,90,FI,1578870746,92,61.33,22.9,34.0,10.29
66,nishihara,100,JP,1578870746,51,26.18,127.76,62.6,10.29
67,zaozerne,0,UA,1578870747,62,45.16,33.28,38.41,0.78
68,shubarkuduk,0,KZ,1578870747,93,49.14,56.49,4.96,4.03
69,balkanabat,99,TM,1578870627,58,39.51,54.37,37.09,8.61
70,kapaa,1,US,1578870747,78,22.08,-159.32,78.8,16.11
